edition,match_number,fifa_match_id,stage,date_utc,team,opponent,team_id,is_official,recipient,id_player,card_type,minute_label,t_min,period,basis,t_end_min,t_end_source,rho,W1,D1,N_horizon,W2,first_yellow_t_min,event_description
2018,1,300331503,First stage,2018-06-14T15:00:00Z,Russia,Saudi Arabia,43965,0,GOLOVIN,371639,Y,88',88.0,5,90.0,95.0,timeline_period_label,1,2.0,7.0,4,362.0,,GOLOVIN (Russia) is booked by the referee.
2018,1,300331503,First stage,2018-06-14T15:00:00Z,Saudi Arabia,Russia,43835,0,TAISEER,218083,Y,90'+3',93.0,5,90.0,95.0,timeline_period_label,1,0.0,2.0,4,360.0,,TAISEER (Saudi Arabia) is booked by the referee.
2018,2,300353632,First stage,2018-06-15T12:00:00Z,Egypt,Uruguay,43855,0,MORSY,407023,Y,90'+4',94.0,5,90.0,97.0,timeline_period_label,1,0.0,3.0,4,360.0,,MORSY (Egypt) is booked by the referee.
2018,2,300353632,First stage,2018-06-15T12:00:00Z,Egypt,Uruguay,43855,0,A. HEGAZY,344640,Y,90'+6',96.0,5,90.0,97.0,timeline_period_label,1,0.0,1.0,4,360.0,,A. HEGAZY (Egypt) is booked by the referee.
2018,3,300331524,First stage,2018-06-15T18:00:00Z,Spain,Portugal,43969,0,SERGIO,303034,Y,17',17.0,3,90.0,96.0,timeline_period_label,1,73.0,79.0,4,433.0,,SERGIO (Spain) is booked by the referee.
2018,3,300331524,First stage,2018-06-15T18:00:00Z,Portugal,Spain,43963,0,B. FERNANDES,395206,Y,28',28.0,3,90.0,96.0,timeline_period_label,1,62.0,68.0,4,422.0,,B. FERNANDES (Portugal) is booked by the referee.
2018,4,300331526,First stage,2018-06-15T15:00:00Z,Iran,Morocco,43817,0,SHOJAEI. M,213170,Y,10',10.0,3,90.0,97.0,timeline_period_label,1,80.0,87.0,4,440.0,,SHOJAEI. M (IR Iran) is booked by the referee.
2018,4,300331526,First stage,2018-06-15T15:00:00Z,Morocco,Iran,43872,0,EL AHMADI,232674,Y,34',34.0,3,90.0,97.0,timeline_period_label,1,56.0,63.0,4,416.0,,EL AHMADI (Morocco) is booked by the referee.
2018,4,300331526,First stage,2018-06-15T15:00:00Z,Iran,Morocco,43817,0,A. JAHANBAKHSH,379886,Y,47',47.0,5,90.0,97.0,timeline_period_label,1,43.0,50.0,4,403.0,,A. JAHANBAKHSH (IR Iran) is booked by the referee.
2018,4,300331526,First stage,2018-06-15T15:00:00Z,Iran,Morocco,43817,0,KARIM,330659,Y,90'+2',92.0,5,90.0,97.0,timeline_period_label,1,0.0,5.0,4,360.0,,KARIM (IR Iran) is booked by the referee.
2018,5,300331533,First stage,2018-06-16T10:00:00Z,Australia,France,43976,0,LECKIE,321697,Y,13',13.0,3,90.0,96.0,timeline_period_label,1,77.0,83.0,4,437.0,,LECKIE (Australia) is booked by the referee.
2018,5,300331533,First stage,2018-06-16T10:00:00Z,Australia,France,43976,0,RISDON,397717,Y,57',57.0,5,90.0,96.0,timeline_period_label,1,33.0,39.0,4,393.0,,RISDON (Australia) is booked by the referee.
2018,5,300331533,First stage,2018-06-16T10:00:00Z,France,Australia,43946,0,TOLISSO,404566,Y,76',76.0,5,90.0,96.0,timeline_period_label,1,14.0,20.0,4,374.0,,TOLISSO (France) is booked by the referee.
2018,5,300331533,First stage,2018-06-16T10:00:00Z,Australia,France,43976,0,BEHICH,349342,Y,87',87.0,5,90.0,96.0,timeline_period_label,1,3.0,9.0,4,363.0,,BEHICH (Australia) is booked by the referee.
2018,6,300331528,First stage,2018-06-16T16:00:00Z,Peru,Denmark,43929,0,TAPIA,392903,Y,38',38.0,3,90.0,96.0,timeline_period_label,1,52.0,58.0,4,412.0,,TAPIA (Peru) is booked by the referee.
2018,6,300331528,First stage,2018-06-16T16:00:00Z,Denmark,Peru,43941,0,DELANEY,372855,Y,86',86.0,5,90.0,96.0,timeline_period_label,1,4.0,10.0,4,364.0,,DELANEY (Denmark) is booked by the referee.
2018,6,300331528,First stage,2018-06-16T16:00:00Z,Denmark,Peru,43941,0,YURARY,336133,Y,90'+3',93.0,5,90.0,96.0,timeline_period_label,1,0.0,3.0,4,360.0,,YURARY (Denmark) is booked by the referee.
2018,8,300331523,First stage,2018-06-16T19:00:00Z,Croatia,Nigeria,43938,0,RAKITIĆ,296633,Y,30',30.0,3,90.0,95.0,timeline_period_label,1,60.0,65.0,4,420.0,,RAKITIĆ (Croatia) is booked by the referee.
2018,8,300331523,First stage,2018-06-16T19:00:00Z,Nigeria,Croatia,43876,0,EKONG,395529,Y,70',70.0,5,90.0,95.0,timeline_period_label,1,20.0,25.0,4,380.0,,EKONG (Nigeria) is booked by the referee.
2018,8,300331523,First stage,2018-06-16T19:00:00Z,Croatia,Nigeria,43938,0,BROZOVIĆ,380000,Y,89',89.0,5,90.0,95.0,timeline_period_label,1,1.0,6.0,4,361.0,,BROZOVIĆ (Croatia) is booked by the referee.
2018,9,300331525,First stage,2018-06-17T18:00:00Z,Switzerland,Brazil,43971,0,LICHTSTEINER,196605,Y,31',31.0,3,90.0,97.0,timeline_period_label,1,59.0,66.0,4,419.0,,LICHTSTEINER (Switzerland) is booked by the referee.
2018,9,300331525,First stage,2018-06-17T18:00:00Z,Brazil,Switzerland,43924,0,CASEMIRO,308386,Y,47',47.0,5,90.0,97.0,timeline_period_label,1,43.0,50.0,4,403.0,,CASEMIRO (Brazil) is booked by the referee.
2018,9,300331525,First stage,2018-06-17T18:00:00Z,Switzerland,Brazil,43971,0,SCHÄR,356411,Y,65',65.0,5,90.0,97.0,timeline_period_label,1,25.0,32.0,4,385.0,,SCHÄR (Switzerland) is booked by the referee.
2018,9,300331525,First stage,2018-06-17T18:00:00Z,Switzerland,Brazil,43971,0,BEHRAMI,216627,Y,68',68.0,5,90.0,97.0,timeline_period_label,1,22.0,29.0,4,382.0,,BEHRAMI (Switzerland) is booked by the referee.
2018,10,300331529,First stage,2018-06-17T12:00:00Z,Costa Rica,Serbia,43901,0,F. CALVO,339797,Y,22',22.0,3,90.0,98.0,timeline_period_label,1,68.0,76.0,4,428.0,,F. CALVO (Costa Rica) is booked by the referee.
2018,10,300331529,First stage,2018-06-17T12:00:00Z,Costa Rica,Serbia,43901,0,D. GUZMAN,270143,Y,56',56.0,5,90.0,98.0,timeline_period_label,1,34.0,42.0,4,394.0,,D. GUZMAN (Costa Rica) is booked by the referee.
2018,10,300331529,First stage,2018-06-17T12:00:00Z,Serbia,Costa Rica,1902465,0,IVANOVIĆ,214388,Y,59',59.0,5,90.0,98.0,timeline_period_label,1,31.0,39.0,4,391.0,,IVANOVIĆ (Serbia) is booked by the referee.
2018,10,300331529,First stage,2018-06-17T12:00:00Z,Serbia,Costa Rica,1902465,0,PRIJOVIĆ,294103,Y,90'+8',98.0,5,90.0,98.0,timeline_period_label,1,0.0,0.0,4,360.0,,PRIJOVIĆ (Serbia) is booked by the referee.
2018,11,300331502,First stage,2018-06-17T15:00:00Z,Mexico,Germany,43911,0,H. MORENO,238112,Y,40',40.0,3,90.0,94.0,timeline_period_label,1,50.0,54.0,4,410.0,,H. MORENO (Mexico) is booked by the referee.
2018,11,300331502,First stage,2018-06-17T15:00:00Z,Germany,Mexico,43948,0,MÜLLER,321722,Y,83',83.0,5,90.0,94.0,timeline_period_label,1,7.0,11.0,4,367.0,,MÜLLER (Germany) is booked by the referee.
2018,11,300331502,First stage,2018-06-17T15:00:00Z,Germany,Mexico,43948,0,HUMMELS,311150,Y,84',84.0,5,90.0,94.0,timeline_period_label,1,6.0,10.0,4,366.0,,HUMMELS (Germany) is booked by the referee.
2018,11,300331502,First stage,2018-06-17T15:00:00Z,Mexico,Germany,43911,0,H. HERRERA,329092,Y,90',90.0,5,90.0,94.0,timeline_period_label,1,0.0,4.0,4,360.0,,H. HERRERA (Mexico) is booked by the referee.
2018,12,300331499,First stage,2018-06-18T12:00:00Z,Korea Republic,Sweden,43822,0,S W KIM,321745,Y,13',13.0,3,90.0,95.0,timeline_period_label,1,77.0,82.0,4,437.0,,S W KIM (Korea Republic) is booked by the referee.
2018,12,300331499,First stage,2018-06-18T12:00:00Z,Korea Republic,Sweden,43822,0,H C HWANG,395083,Y,55',55.0,5,90.0,95.0,timeline_period_label,1,35.0,40.0,4,395.0,,H C HWANG (Korea Republic) is booked by the referee.
