edition,match_number,team,opponent,cards,sum_W1,sum_D1,sum_D1_endm1,d1_complete
2014,1,Brazil,Croatia,2,67.0,76.86000000000001,74.86000000000001,1
2014,1,Croatia,Brazil,2,47.0,56.86,54.860000000000014,1
2014,2,Cameroon,Mexico,1,14.0,18.25,17.25,1
2014,2,Mexico,Cameroon,1,34.0,38.25,37.25,1
2014,3,Netherlands,Spain,3,141.0,152.54999999999998,149.54999999999998,1
2014,3,Spain,Netherlands,1,26.0,29.85,28.849999999999994,1
2014,4,Australia,Chile,3,103.0,115.36,112.36000000000001,1
2014,4,Chile,Australia,1,5.0,9.12,8.120000000000005,1
2014,5,Colombia,Greece,1,65.0,68.87,67.87,1
2014,5,Greece,Colombia,2,75.0,82.74,80.74000000000001,1
2014,6,Côte d'Ivoire,Japan,2,70.0,81.8,79.80000000000001,1
2014,6,Japan,Côte d'Ivoire,2,95.0,106.80000000000001,104.80000000000001,1
2014,7,Uruguay,Costa Rica,4,85.0,104.65,99.64999999999998,1
2014,8,England,Italy,1,0.0,4.1,3.0999999999999943,1
2014,9,Ecuador,Switzerland,1,38.0,41.87,40.870000000000005,1
2014,9,Switzerland,Ecuador,1,7.0,10.87,9.870000000000005,1
2014,10,France,Honduras,3,191.0,200.24,197.24,1
2014,10,Honduras,France,4,157.0,220.4,215.39999999999998,1
2014,11,Argentina,Bosnia-Herzegovina,1,66.0,69.0,68.0,1
2014,11,Bosnia-Herzegovina,Argentina,1,28.0,31.0,30.0,1
2014,12,Iran,Nigeria,1,16.0,18.08,17.08,1
2014,13,Portugal,Germany,2,80.0,194.3,191.29999999999998,1
2014,14,Ghana,United States,2,61.0,70.06,68.06,1
2014,15,Algeria,Belgium,1,57.0,60.18,59.18000000000001,1
2014,15,Belgium,Algeria,1,67.0,70.18,69.18,1
2014,16,Korea Republic,Russia,3,140.0,152.15,149.14999999999998,1
2014,16,Russia,Korea Republic,1,42.0,46.05,45.05,1
2014,17,Brazil,Mexico,2,57.0,63.099999999999994,61.099999999999994,1
2014,17,Mexico,Brazil,2,61.0,67.1,65.1,1
2014,18,Cameroon,Croatia,1,0.0,106.24,104.24000000000001,1
2014,18,Croatia,Cameroon,1,2.0,4.12,3.1200000000000045,1
2014,19,Chile,Spain,2,95.0,107.03999999999999,105.03999999999999,1
2014,19,Spain,Chile,1,50.0,56.02,55.019999999999996,1
2014,20,Australia,Netherlands,1,48.0,51.12,50.120000000000005,1
2014,20,Netherlands,Australia,1,44.0,47.12,46.120000000000005,1
2014,21,Côte d'Ivoire,Colombia,2,37.0,45.599999999999994,43.599999999999994,1
2014,22,Greece,Japan,4,155.0,229.4,224.4,1
2014,22,Japan,Greece,1,79.0,83.28,82.28,1
2014,23,England,Uruguay,1,23.0,28.08,27.08,1
2014,23,Uruguay,England,1,82.0,87.08,86.08,1
2014,24,Costa Rica,Italy,1,20.0,23.73,22.730000000000004,1
2014,24,Italy,Costa Rica,1,22.0,25.73,24.730000000000004,1
2014,25,France,Switzerland,1,3.0,7.22,6.219999999999999,1
2014,26,Ecuador,Honduras,3,63.0,76.2,73.20000000000002,1
2014,26,Honduras,Ecuador,2,127.0,135.8,133.8,1
2014,27,Iran,Argentina,2,56.0,65.26,63.25999999999999,1
2014,28,Bosnia-Herzegovina,Nigeria,1,85.0,88.27,87.27,1
2014,28,Nigeria,Bosnia-Herzegovina,1,9.0,12.27,11.269999999999996,1
2014,29,Ghana,Germany,1,0.0,1.32,0.3199999999999932,1
2014,30,United States,Portugal,1,16.0,21.53,20.53,1
2014,31,Belgium,Russia,2,55.0,61.66,59.66,1
2014,31,Russia,Belgium,1,53.0,56.33,55.33,1
2014,32,Algeria,Korea Republic,1,24.0,28.1,27.099999999999994,1
2014,32,Korea Republic,Algeria,2,59.0,67.2,65.19999999999999,1
2014,33,Cameroon,Brazil,3,106.0,118.54000000000002,115.54000000000002,1
2014,34,Croatia,Mexico,2,82.0,98.3,95.29999999999998,1
2014,34,Mexico,Croatia,2,77.0,85.2,83.19999999999999,1
2014,35,Australia,Spain,2,3.0,8.16,6.159999999999997,1
2014,35,Spain,Australia,1,29.0,32.08,31.08,1
2014,36,Chile,Netherlands,1,66.0,69.18,68.18,1
2014,36,Netherlands,Chile,1,27.0,30.18,29.180000000000007,1
2014,37,Colombia,Japan,1,28.0,31.25,30.25,1
2014,37,Japan,Colombia,1,75.0,78.25,77.25,1
2014,38,Côte d'Ivoire,Greece,3,104.0,115.76,112.76,1
2014,39,Italy,Uruguay,3,83.0,170.8,166.8,1
2014,39,Uruguay,Italy,2,45.0,56.900000000000006,54.900000000000006,1
2014,40,Costa Rica,England,1,31.0,34.13,33.129999999999995,1
2014,40,England,Costa Rica,2,72.0,78.26,76.25999999999999,1
2014,41,Honduras,Switzerland,1,25.0,28.02,27.019999999999996,1
2014,42,Ecuador,France,2,8.0,102.84,99.84,1
2014,43,Nigeria,Argentina,2,82.0,90.6,88.6,1
2014,44,Bosnia-Herzegovina,Iran,1,14.0,17.37,16.370000000000005,1
2014,44,Iran,Bosnia-Herzegovina,1,3.0,6.37,5.3700000000000045,1
2014,45,Germany,United States,1,80.0,84.08,83.08,1
2014,45,United States,Germany,2,83.0,91.16,89.16,1
2014,46,Ghana,Portugal,3,101.0,116.36,113.36000000000001,1
2014,46,Portugal,Ghana,1,0.0,2.12,1.1200000000000045,1
2014,47,Belgium,Korea Republic,2,41.0,146.29,143.29000000000002,1
2014,47,Korea Republic,Belgium,1,56.0,60.43,59.43000000000001,1
2014,48,Algeria,Russia,3,55.0,66.36,63.360000000000014,1
2014,48,Russia,Algeria,2,66.0,74.24,72.24000000000001,1
2014,49,Brazil,Chile,4,110.0,170.0,166.0,1
2014,49,Chile,Brazil,3,144.0,204.0,201.0,1
2014,50,Colombia,Uruguay,1,13.0,16.15,15.150000000000006,1
2014,50,Uruguay,Colombia,2,50.0,56.3,54.30000000000001,1
2014,51,Mexico,Netherlands,3,22.0,37.739999999999995,34.739999999999995,1
2014,52,Costa Rica,Greece,6,173.0,422.0,415.0,1
2014,52,Greece,Costa Rica,2,74.0,138.0,136.0,1
2014,53,France,Nigeria,1,36.0,41.03,40.03,1
2014,54,Algeria,Germany,1,49.0,81.28,80.28,1
2014,54,Germany,Algeria,1,14.0,16.28,15.280000000000001,1
2014,55,Argentina,Switzerland,3,2.0,44.239999999999995,41.239999999999995,1
2014,55,Switzerland,Argentina,2,73.0,143.16,141.16,1
2014,56,Belgium,United States,1,49.0,80.08,79.08,1
2014,56,United States,Belgium,1,73.0,104.08,103.08,1
2014,57,Brazil,Colombia,2,40.0,50.099999999999994,48.099999999999994,1
2014,57,Colombia,Brazil,2,46.0,56.1,54.099999999999994,1
2014,58,Germany,France,2,48.0,57.2,55.19999999999999,1
2014,59,Costa Rica,Netherlands,4,117.0,211.0,207.0,1
2014,59,Netherlands,Costa Rica,2,37.0,69.0,67.0,1
2014,60,Argentina,Belgium,1,16.0,21.08,20.08,1
2014,60,Belgium,Argentina,2,61.0,71.16,69.16,1
2014,61,Brazil,Germany,1,23.0,24.98,23.980000000000004,1
2014,62,Argentina,Netherlands,1,42.0,73.0,72.0,1
2014,62,Netherlands,Argentina,2,62.0,94.0,92.0,1
2014,63,Brazil,Netherlands,3,149.0,164.84,161.84,1
2014,63,Netherlands,Brazil,2,137.0,147.56,145.56,1
2014,64,Argentina,Germany,2,53.0,120.96,118.96000000000001,1
2014,64,Germany,Argentina,2,119.0,186.96,184.96,1
