edition,edition_status,ledger,cohort,team_id,team,rho,mu,lambda,fouls_all,exp_susp_in_match_min,exp_susp_accumulation_window_min,exp_susp_served_min,exp_susp_grp_min,exp_susp_min,exp_susp_all_min,exp_susp_prime_min,exp_susp_grp_per_foul,exp_susp_per_foul,exp_susp_all_per_foul,exp_susp_prime_per_foul,rank_exp_susp_grp_per_foul,rank_exp_susp_per_foul,rank_exp_susp_all_per_foul,rank_exp_susp_prime_per_foul,teams
2014,final,full,all_teams,43949,Greece,2,1.25,0.5,60,39.777778,776,0,724.987097,815.777778,1540.764874,1864.32115,12.083118,13.596296,25.679415,31.072019,7,3,1,1,32
2014,final,full,all_teams,43822,Korea Republic,2,1.25,0.5,36,0,0,0,923.318518,0,923.318518,1054.592241,25.647737,0,25.647737,29.294229,1,29,2,3,32
2014,final,full,all_teams,43930,Uruguay,2,1.25,0.5,73,41,983,0,760.372222,1024,1784.372222,2145.388083,10.416058,14.027397,24.443455,29.388878,11,1,3,2,32
2014,final,full,all_teams,43911,Mexico,2,1.25,0.5,53,30.871611,578.25,112.5,480.25,721.621611,1201.871611,1435.235542,9.061321,13.615502,22.676823,27.079916,15,2,4,4,32
2014,final,full,all_teams,43946,France,2,1.25,0.5,61,34.08,370.8,0,700.435778,404.88,1105.315778,1284.782245,11.482554,6.637377,18.119931,21.062004,8,11,5,6,32
2014,final,full,all_teams,43925,Chile,2,1.25,0.5,61,112.774359,483.746154,0,431.612821,596.520513,1028.133333,1291.863103,7.07562,9.779025,16.854645,21.178084,18,5,6,5,32
2014,final,full,all_teams,43909,Honduras,2,1.25,0.5,46,0,0,0,769.193333,0,769.193333,854.649,16.721594,0,16.721594,18.579326,2,25,7,7,32
2014,final,full,all_teams,43924,Brazil,2,1.25,0.5,107,109.525662,659.830324,216.118421,553.302584,985.474407,1538.776991,1841.135313,5.171052,9.210041,14.381093,17.206872,22,7,8,9,32
2014,final,full,all_teams,43854,Côte d'Ivoire,2,1.25,0.5,49,0,0,0,690.044444,0,690.044444,790.872,14.08254,0,14.08254,16.140245,3,21,9,12,32
2014,final,full,all_teams,43921,United States,2,1.25,0.5,49,56.153846,470.769231,0,155.153846,526.923077,682.076923,895.011154,3.166405,10.753532,13.919937,18.265534,27,4,10,8,32
2014,final,full,all_teams,43935,Belgium,2,1.25,0.5,87,96.741667,590.3125,15.764331,449.787415,702.818498,1152.605913,1460.313517,5.16997,8.078374,13.248344,16.785213,23,9,11,10,32
2014,final,full,all_teams,43876,Nigeria,2,1.25,0.5,56,0,540,0,181,540,721,914.98,3.232143,9.642857,12.875,16.338929,26,6,12,11,32
2014,final,full,all_teams,43860,Ghana,2,1.25,0.5,43,0,0,0,545.638889,0,545.638889,603.755926,12.689276,0,12.689276,14.040835,4,24,13,13,32
2014,final,full,all_teams,43976,Australia,2,1.25,0.5,50,0,0,0,617.585556,0,617.585556,691.877556,12.351711,0,12.351711,13.837551,5,17,14,14,32
2014,final,full,all_teams,43927,Ecuador,2,1.25,0.5,48,0,0,0,592.848889,0,592.848889,656.826111,12.351019,0,12.351019,13.683877,6,22,15,15,32
2014,final,full,all_teams,43938,Croatia,2,1.25,0.5,46,0,0,0,498.590326,0,498.590326,570.238178,10.83892,0,10.83892,12.396482,9,20,16,21,32
2014,final,full,all_teams,43922,Argentina,2,1.25,0.5,77,135.727007,331.136697,109.821429,240.142857,576.685132,816.827989,980.164116,3.118738,7.489417,10.608156,12.729404,28,10,17,17,32
2014,final,full,all_teams,43819,Japan,2,1.25,0.5,46,0,0,0,484.674074,0,484.674074,582.184518,10.536393,0,10.536393,12.656185,10,28,18,18,32
2014,final,full,all_teams,43960,Netherlands,2,1.25,0.5,107,71.113044,410.347826,0,620.665218,481.46087,1102.126087,1345.025357,5.80061,4.499634,10.300244,12.57033,21,15,19,19,32
2014,final,full,all_teams,43843,Algeria,2,1.25,0.5,69,45.984615,403.384615,0,247.061538,449.369231,696.430769,884.132102,3.580602,6.512598,10.0932,12.813509,25,12,20,16,32
