edition,team_id,team,player_id,player,primary_cohort,rho,mu,ordinary_caution_min,dismissal_min,served_suspension_matches,served_suspension_min,unweighted_exp_susp_min,omega,exp_susp_min
2014,43817,Iran,185641,Javad NEKOUNAM,no,2,1.25,308,0,0,0,308,1,308
2014,43817,Iran,213170,Masoud SHOJAEI,no,2,1.25,288,0,0,0,288,0.451851852,130.133333
2014,43817,Iran,237949,Andranik TIMOTIAN,no,2,1.25,376,0,0,0,376,1,376
2014,43817,Iran,330659,Karim ANSARIFARD,no,2,1.25,183,0,0,0,183,0.085185185,15.588889
2014,43819,Japan,184373,Yasuyuki KONNO,no,2,1.25,255,0,0,0,255,0.666666667,170
2014,43819,Japan,268594,Masato Morishige,no,2,1.25,387,0,0,0,387,0.333333333,129
2014,43819,Japan,271253,Maya Yoshida,no,2,1.25,428,0,0,0,428,1,428
2014,43819,Japan,289027,Makoto Hasebe,no,2,1.25,349,0,0,0,349,0.696296296,243.007407
2014,43822,Korea Republic,268406,KI Sungyueng,no,2,1.25,421,0,0,0,421,1,421
2014,43822,Korea Republic,274329,HAN Kookyoung,no,2,1.25,292,0,0,0,292,0.785185185,229.274074
2014,43822,Korea Republic,291393,KOO Jacheol,no,2,1.25,361,0,0,0,361,1,361
2014,43822,Korea Republic,307849,SON Heungmin,no,2,1.25,438,0,0,0,438,0.907407407,397.444444
2014,43822,Korea Republic,312679,HONG Jeongho,no,2,1.25,236,0,0,0,236,0.933333333,220.266667
2014,43822,Korea Republic,363578,LEE Yong,no,2,1.25,307,0,0,0,307,1,307
2014,43843,Algeria,215208,Madjid BOUGUERRA,yes,2,1.25,294,0,0,0,294,0.517948718,152.276923
2014,43843,Algeria,296827,Rafik HALLICHE,yes,2,1.25,139,0,0,0,139,0.938461538,130.446154
2014,43843,Algeria,323339,Djamel MESBAH,yes,2,1.25,231,0,0,0,231,0.461538462,106.615385
2014,43843,Algeria,354883,Liassine CADAMURO,yes,2,1.25,180,0,0,0,180,0,0
2014,43843,Algeria,367261,Nabil GHILAS,yes,2,1.25,184,0,0,0,184,0.1,18.4
2014,43843,Algeria,379939,Nabil Bentaleb,yes,2,1.25,417,0,0,0,417,0.692307692,288.692308
2014,43849,Cameroon,200259,Dany NOUNKEU,no,2,1.25,374,0,0,0,374,0.333333333,124.666667
2014,43849,Cameroon,200261,Alexandre SONG,no,2,1.25,0,106.24,1,112.5,218.74,0.906976744,198.392093
2014,43849,Cameroon,200935,Stephane MBIA,no,2,1.25,191,0,0,0,191,1,191
2014,43849,Cameroon,310048,Eyong ENOH,no,2,1.25,259,0,0,0,259,1,259
