rank,edition,team_id,team,exposed_players,mean_omega,exp_susp_min,fouls_all,exp_susp_per_foul_all,fouls_knockout,exp_susp_per_foul_knockout
1,2022,43976,Australia,5,0.849444444,1363.597222,34,40.105801,7,194.799603
2,2022,43921,United States,5,0.746666667,1376.408334,39,35.292521,9,152.934259
3,2022,43971,Switzerland,8,0.64224537,1368.594444,49,27.930499,12,114.049537
4,2022,43822,Korea Republic,5,0.662222222,949.902778,35,27.140079,8,118.737847
5,2022,43962,Poland,6,0.803240741,1248.741667,47,26.568972,9,138.749074
6,2022,43819,Japan,5,0.694871795,866.197436,36,24.06104,15,57.746496
7,2022,43879,Senegal,6,0.806018519,1339.022222,58,23.08659,16,83.688889
8,2022,43963,Portugal,6,0.7,1267.151111,65,19.494632,24,52.797963
9,2022,43960,Netherlands,11,0.551515152,504.2875,51,9.88799,20,25.214375
10,2022,43938,Croatia,7,0.722567288,785.791304,90,8.731014,61,12.881825
11,2022,43969,Spain,2,0.851282051,374.164102,45,8.314758,14,26.726007
12,2022,43872,Morocco,8,0.610027911,622.818102,81,7.689112,47,13.251449
13,2022,43946,France,8,0.703837719,490.713955,85,5.773105,51,9.621842
14,2022,43924,Brazil,6,0.63375,398.41875,74,5.384037,34,11.718199
15,2022,43922,Argentina,10,0.626717391,486.405326,113,4.304472,69,7.049353
16,2022,43942,England,1,0.955555556,0,65,0,25,0
