edition,rho,mu,denominator,cohort,teams,exp_susp_min,fouls,pooled_exp_susp_per_foul
2014,1,1,all,knockout_teams,16,9682.143219,1202,8.055028
2014,1,1,knockout,knockout_teams,16,9682.143219,514,18.836855
2014,1,1.25,all,knockout_teams,16,9795.484054,1202,8.149321
2014,1,1.25,knockout,knockout_teams,16,9795.484054,514,19.057362
2014,1,1.5,all,knockout_teams,16,9908.824891,1202,8.243615
2014,1,1.5,knockout,knockout_teams,16,9908.824891,514,19.277869
2014,1.5,1,all,knockout_teams,16,9710.643219,1202,8.078738
2014,1.5,1,knockout,knockout_teams,16,9710.643219,514,18.892302
2014,1.5,1.25,all,knockout_teams,16,9823.984054,1202,8.173032
2014,1.5,1.25,knockout,knockout_teams,16,9823.984054,514,19.112809
2014,1.5,1.5,all,knockout_teams,16,9937.324891,1202,8.267325
2014,1.5,1.5,knockout,knockout_teams,16,9937.324891,514,19.333317
2014,2,1,all,knockout_teams,16,9739.143219,1202,8.102449
2014,2,1,knockout,knockout_teams,16,9739.143219,514,18.947749
2014,2,1.25,all,knockout_teams,16,9852.484054,1202,8.196742
2014,2,1.25,knockout,knockout_teams,16,9852.484054,514,19.168257
2014,2,1.5,all,knockout_teams,16,9965.824891,1202,8.291036
2014,2,1.5,knockout,knockout_teams,16,9965.824891,514,19.388764
2018,1,1,all,knockout_teams,16,10394.935845,1040,9.995131
2018,1,1,knockout,knockout_teams,16,10394.935845,424,24.516358
2018,1,1.25,all,knockout_teams,16,10559.84656,1040,10.153699
2018,1,1.25,knockout,knockout_teams,16,10559.84656,424,24.905298
2018,1,1.5,all,knockout_teams,16,10724.757274,1040,10.312267
2018,1,1.5,knockout,knockout_teams,16,10724.757274,424,25.294239
2018,1.5,1,all,knockout_teams,16,10395.360845,1040,9.995539
2018,1.5,1,knockout,knockout_teams,16,10395.360845,424,24.51736
2018,1.5,1.25,all,knockout_teams,16,10560.27156,1040,10.154107
2018,1.5,1.25,knockout,knockout_teams,16,10560.27156,424,24.906301
2018,1.5,1.5,all,knockout_teams,16,10725.182274,1040,10.312675
2018,1.5,1.5,knockout,knockout_teams,16,10725.182274,424,25.295241
2018,2,1,all,knockout_teams,16,10395.785845,1040,9.995948
2018,2,1,knockout,knockout_teams,16,10395.785845,424,24.518363
2018,2,1.25,all,knockout_teams,16,10560.69656,1040,10.154516
2018,2,1.25,knockout,knockout_teams,16,10560.69656,424,24.907303
2018,2,1.5,all,knockout_teams,16,10725.607274,1040,10.313084
2018,2,1.5,knockout,knockout_teams,16,10725.607274,424,25.296244
2022,1,1,all,knockout_teams,16,8550.128189,932,9.173957
2022,1,1,knockout,knockout_teams,16,8550.128189,397,21.536847
2022,1,1.25,all,knockout_teams,16,8615.952532,932,9.244584
2022,1,1.25,knockout,knockout_teams,16,8615.952532,397,21.702651
2022,1,1.5,all,knockout_teams,16,8681.776874,932,9.315211
2022,1,1.5,knockout,knockout_teams,16,8681.776874,397,21.868456
2022,1.5,1,all,knockout_teams,16,8550.459768,932,9.174313
2022,1.5,1,knockout,knockout_teams,16,8550.459768,397,21.537682
2022,1.5,1.25,all,knockout_teams,16,8616.28411,932,9.24494
2022,1.5,1.25,knockout,knockout_teams,16,8616.28411,397,21.703486
2022,1.5,1.5,all,knockout_teams,16,8682.108453,932,9.315567
2022,1.5,1.5,knockout,knockout_teams,16,8682.108453,397,21.869291
2022,2,1,all,knockout_teams,16,8550.791347,932,9.174669
2022,2,1,knockout,knockout_teams,16,8550.791347,397,21.538517
2022,2,1.25,all,knockout_teams,16,8616.615689,932,9.245296
2022,2,1.25,knockout,knockout_teams,16,8616.615689,397,21.704322
2022,2,1.5,all,knockout_teams,16,8682.440032,932,9.315923
2022,2,1.5,knockout,knockout_teams,16,8682.440032,397,21.870126
2026,1,1,all,knockout_teams,32,8221.979558,1733,4.744362
2026,1,1,knockout,knockout_teams,32,8221.979558,690,11.915912
2026,1,1.25,all,knockout_teams,32,8277.939629,1733,4.776653
2026,1,1.25,knockout,knockout_teams,32,8277.939629,690,11.997014
2026,1,1.5,all,knockout_teams,32,8333.899703,1733,4.808944
2026,1,1.5,knockout,knockout_teams,32,8333.899703,690,12.078116
2026,1.5,1,all,knockout_teams,32,8269.417929,1733,4.771736
2026,1.5,1,knockout,knockout_teams,32,8269.417929,690,11.984664
2026,1.5,1.25,all,knockout_teams,32,8325.378001,1733,4.804027
2026,1.5,1.25,knockout,knockout_teams,32,8325.378001,690,12.065765
2026,1.5,1.5,all,knockout_teams,32,8381.338074,1733,4.836317
2026,1.5,1.5,knockout,knockout_teams,32,8381.338074,690,12.146867
2026,2,1,all,knockout_teams,32,8316.856302,1733,4.799109
2026,2,1,knockout,knockout_teams,32,8316.856302,690,12.053415
2026,2,1.25,all,knockout_teams,32,8372.816374,1733,4.8314
2026,2,1.25,knockout,knockout_teams,32,8372.816374,690,12.134516
2026,2,1.5,all,knockout_teams,32,8428.776447,1733,4.863691
2026,2,1.5,knockout,knockout_teams,32,8428.776447,690,12.215618
