edition,team_id,team,primary_cohort,rho,mu,exposed_players,mean_omega,fouls_all,fouls_knockout,exp_susp_min,exp_susp_per_foul_all,exp_susp_per_foul_knockout
2014,43817,Iran,no,2,1.25,0,,49,0,0,0,
2014,43819,Japan,no,2,1.25,0,,46,0,0,0,
2014,43822,Korea Republic,no,2,1.25,0,,36,0,0,0,
2014,43843,Algeria,yes,2,1.25,6,0.451709402,69,20,449.369231,6.512598,22.468462
2014,43849,Cameroon,no,2,1.25,0,,37,0,0,0,
2014,43854,Côte d'Ivoire,no,2,1.25,0,,49,0,0,0,
2014,43860,Ghana,no,2,1.25,0,,43,0,0,0,
2014,43876,Nigeria,yes,2,1.25,3,1,56,15,540,9.642857,36
2014,43901,Costa Rica,yes,2,1.25,10,0.705416667,94,35,859.927083,9.14816,24.569345
2014,43909,Honduras,no,2,1.25,0,,46,0,0,0,
2014,43911,Mexico,yes,2,1.25,5,0.958888889,53,12,721.621611,13.615502,60.135134
2014,43921,United States,yes,2,1.25,4,0.75,49,11,526.923077,10.753532,47.902098
2014,43922,Argentina,yes,2,1.25,7,0.727191657,77,55,576.685132,7.489417,10.485184
2014,43924,Brazil,yes,2,1.25,9,0.648160074,107,70,985.474407,9.210041,14.078206
2014,43925,Chile,yes,2,1.25,5,0.672307692,61,23,596.520513,9.779025,25.935674
2014,43926,Colombia,yes,2,1.25,5,0.786888889,90,42,372.64,4.140444,8.872381
2014,43927,Ecuador,no,2,1.25,0,,48,0,0,0,
2014,43930,Uruguay,yes,2,1.25,7,0.84484127,73,17,1024,14.027397,60.235294
2014,43935,Belgium,yes,2,1.25,7,0.684006294,87,41,702.818498,8.078374,17.141915
2014,43938,Croatia,no,2,1.25,0,,46,0,0,0,
2014,43942,England,no,2,1.25,0,,36,0,0,0,
2014,43946,France,yes,2,1.25,3,0.844444445,61,27,404.88,6.637377,14.995556
2014,43948,Germany,yes,2,1.25,4,0.847520977,91,63,479.808931,5.272626,7.616015
2014,43949,Greece,yes,2,1.25,6,0.833333333,60,16,815.777778,13.596296,50.986111
2014,43954,Italy,no,2,1.25,0,,40,0,0,0,
2014,43960,Netherlands,yes,2,1.25,5,0.604347826,107,38,481.46087,4.499634,12.670023
2014,43963,Portugal,no,2,1.25,0,,47,0,0,0,
2014,43965,Russia,no,2,1.25,0,,38,0,0,0,
2014,43969,Spain,no,2,1.25,0,,28,0,0,0,
2014,43971,Switzerland,yes,2,1.25,3,0.654700855,67,29,314.576923,4.695178,10.84748
2014,43976,Australia,no,2,1.25,0,,50,0,0,0,
