card_id,edition,match_number,match_id,date_utc,stage,team_id,team,opponent,recipient_type,player_id,player,card_type,minute_label,t_min,period,event_scope,nominal_basis_min,t_end_min,t_end_source,source_url,source_archive
2014-001-207809,2014,1,300186456,2014-06-12T20:00:00Z,group,43924,Brazil,Croatia,player,314197,NEYMAR JR,Y,26',26,3,in_play,90,94.93,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186456?language=en,data/raw/2014/fifa/timelines/m001_300186456.json
2014-001-207815,2014,1,300186456,2014-06-12T20:00:00Z,group,43938,Croatia,Brazil,player,297373,ĆORLUKA,Y,65',65,5,in_play,90,94.93,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186456?language=en,data/raw/2014/fifa/timelines/m001_300186456.json
2014-001-207818,2014,1,300186456,2014-06-12T20:00:00Z,group,43938,Croatia,Brazil,player,312432,LOVREN,Y,68',68,5,in_play,90,94.93,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186456?language=en,data/raw/2014/fifa/timelines/m001_300186456.json
2014-001-207822,2014,1,300186456,2014-06-12T20:00:00Z,group,43924,Brazil,Croatia,player,367918,Luiz Gustavo,Y,87',87,5,in_play,90,94.93,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186456?language=en,data/raw/2014/fifa/timelines/m001_300186456.json
2014-002-207828,2014,2,300186492,2014-06-13T16:00:00Z,group,43911,Mexico,Cameroon,player,238112,H. MORENO,Y,56',56,5,in_play,90,94.25,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186492?language=en,data/raw/2014/fifa/timelines/m002_300186492.json
2014-002-207834,2014,2,300186492,2014-06-13T16:00:00Z,group,43849,Cameroon,Mexico,player,200259,Nounkeu,Y,76',76,5,in_play,90,94.25,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186492?language=en,data/raw/2014/fifa/timelines/m002_300186492.json
2014-003-207839,2014,3,300186510,2014-06-13T19:00:00Z,group,43960,Netherlands,Spain,player,298677,J. de Guzmán,Y,24',24,3,in_play,90,93.85,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186510?language=en,data/raw/2014/fifa/timelines/m003_300186510.json
2014-003-207841,2014,3,300186510,2014-06-13T19:00:00Z,group,43960,Netherlands,Spain,player,313021,De Vrij,Y,40',40,3,in_play,90,93.85,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186510?language=en,data/raw/2014/fifa/timelines/m003_300186510.json
2014-003-207851,2014,3,300186510,2014-06-13T19:00:00Z,group,43969,Spain,Netherlands,player,176644,Casillas,Y,64',64,5,in_play,90,93.85,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186510?language=en,data/raw/2014/fifa/timelines/m003_300186510.json
2014-003-207852,2014,3,300186510,2014-06-13T19:00:00Z,group,43960,Netherlands,Spain,player,217315,Robin VAN PERSIE,Y,65',65,5,in_play,90,93.85,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186510?language=en,data/raw/2014/fifa/timelines/m003_300186510.json
