edition,match_number,match_id,date_utc,stage,group_name,home_team_id,home_team,away_team_id,away_team,winner_team_id,winner_team,nominal_minutes,t_end_min,t_end_source,source_url,source_archive
2014,1,300186456,2014-06-12T20:00:00Z,group,Group A,43924,Brazil,43938,Croatia,43924,Brazil,90,94.93,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m001_300186456.json
2014,2,300186492,2014-06-13T16:00:00Z,group,Group A,43911,Mexico,43849,Cameroon,43911,Mexico,90,94.25,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m002_300186492.json
2014,3,300186510,2014-06-13T19:00:00Z,group,Group B,43969,Spain,43960,Netherlands,43960,Netherlands,90,93.85,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m003_300186510.json
2014,4,300186473,2014-06-13T22:00:00Z,group,Group B,43925,Chile,43976,Australia,43925,Chile,90,94.12,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m004_300186473.json
2014,5,300186471,2014-06-14T16:00:00Z,group,Group C,43926,Colombia,43949,Greece,43926,Colombia,90,93.87,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m005_300186471.json
2014,6,300186507,2014-06-15T01:00:00Z,group,Group C,43854,Côte d'Ivoire,43819,Japan,43854,Côte d'Ivoire,90,95.9,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m006_300186507.json
2014,7,300186489,2014-06-14T19:00:00Z,group,Group D,43930,Uruguay,43901,Costa Rica,43901,Costa Rica,90,95.13,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m007_300186489.json
2014,8,300186513,2014-06-14T22:00:00Z,group,Group D,43942,England,43954,Italy,43954,Italy,90,95.1,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m008_300186513.json
2014,9,300186494,2014-06-15T16:00:00Z,group,Group E,43971,Switzerland,43927,Ecuador,43971,Switzerland,90,93.87,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m009_300186494.json
2014,10,300186496,2014-06-15T19:00:00Z,group,Group E,43946,France,43909,Honduras,43946,France,90,93.08,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m010_300186496.json
2014,11,300186477,2014-06-15T22:00:00Z,group,Group F,43922,Argentina,44037,Bosnia-Herzegovina,43922,Argentina,90,93,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m011_300186477.json
2014,12,300186505,2014-06-16T19:00:00Z,group,Group F,43817,Iran,43876,Nigeria,,,90,92.08,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m012_300186505.json
