edition,match_number,match_id,stage,team_id,team,opponent,team_match_number,fouls,source_url,source_archive
2014,1,300186456,group,43924,Brazil,Croatia,1,5,https://data.huffingtonpost.com/2014/world-cup/matches/brazil-vs-croatia-731767,data/raw/2014/huffpost/matches/731767.html
2014,1,300186456,group,43938,Croatia,Brazil,1,20,https://data.huffingtonpost.com/2014/world-cup/matches/brazil-vs-croatia-731767,data/raw/2014/huffpost/matches/731767.html
2014,2,300186492,group,43849,Cameroon,Mexico,1,12,https://data.huffingtonpost.com/2014/world-cup/matches/mexico-vs-cameroon-731768,data/raw/2014/huffpost/matches/731768.html
2014,2,300186492,group,43911,Mexico,Cameroon,1,11,https://data.huffingtonpost.com/2014/world-cup/matches/mexico-vs-cameroon-731768,data/raw/2014/huffpost/matches/731768.html
2014,3,300186510,group,43960,Netherlands,Spain,1,18,https://data.huffingtonpost.com/2014/world-cup/matches/spain-vs-netherlands-731769,data/raw/2014/huffpost/matches/731769.html
2014,3,300186510,group,43969,Spain,Netherlands,1,5,https://data.huffingtonpost.com/2014/world-cup/matches/spain-vs-netherlands-731769,data/raw/2014/huffpost/matches/731769.html
2014,4,300186473,group,43925,Chile,Australia,1,9,https://data.huffingtonpost.com/2014/world-cup/matches/chile-vs-australia-731770,data/raw/2014/huffpost/matches/731770.html
2014,4,300186473,group,43976,Australia,Chile,1,18,https://data.huffingtonpost.com/2014/world-cup/matches/chile-vs-australia-731770,data/raw/2014/huffpost/matches/731770.html
2014,5,300186471,group,43926,Colombia,Greece,1,19,https://data.huffingtonpost.com/2014/world-cup/matches/colombia-vs-greece-731771,data/raw/2014/huffpost/matches/731771.html
2014,5,300186471,group,43949,Greece,Colombia,1,14,https://data.huffingtonpost.com/2014/world-cup/matches/colombia-vs-greece-731771,data/raw/2014/huffpost/matches/731771.html
2014,6,300186507,group,43819,Japan,Côte d'Ivoire,1,13,https://data.huffingtonpost.com/2014/world-cup/matches/ivory-coast-vs-japan-731772,data/raw/2014/huffpost/matches/731772.html
2014,6,300186507,group,43854,Côte d'Ivoire,Japan,1,12,https://data.huffingtonpost.com/2014/world-cup/matches/ivory-coast-vs-japan-731772,data/raw/2014/huffpost/matches/731772.html
2014,7,300186489,group,43901,Costa Rica,Uruguay,1,18,https://data.huffingtonpost.com/2014/world-cup/matches/uruguay-vs-costa-rica-731773,data/raw/2014/huffpost/matches/731773.html
2014,7,300186489,group,43930,Uruguay,Costa Rica,1,20,https://data.huffingtonpost.com/2014/world-cup/matches/uruguay-vs-costa-rica-731773,data/raw/2014/huffpost/matches/731773.html
2014,8,300186513,group,43942,England,Italy,1,8,https://data.huffingtonpost.com/2014/world-cup/matches/england-vs-italy-731774,data/raw/2014/huffpost/matches/731774.html
2014,8,300186513,group,43954,Italy,England,1,11,https://data.huffingtonpost.com/2014/world-cup/matches/england-vs-italy-731774,data/raw/2014/huffpost/matches/731774.html
2014,9,300186494,group,43927,Ecuador,Switzerland,1,15,https://data.huffingtonpost.com/2014/world-cup/matches/switzerland-vs-ecuador-731775,data/raw/2014/huffpost/matches/731775.html
2014,9,300186494,group,43971,Switzerland,Ecuador,1,9,https://data.huffingtonpost.com/2014/world-cup/matches/switzerland-vs-ecuador-731775,data/raw/2014/huffpost/matches/731775.html
2014,10,300186496,group,43909,Honduras,France,1,14,https://data.huffingtonpost.com/2014/world-cup/matches/france-vs-honduras-731776,data/raw/2014/huffpost/matches/731776.html
2014,10,300186496,group,43946,France,Honduras,1,13,https://data.huffingtonpost.com/2014/world-cup/matches/france-vs-honduras-731776,data/raw/2014/huffpost/matches/731776.html
2014,11,300186477,group,43922,Argentina,Bosnia-Herzegovina,1,10,https://data.huffingtonpost.com/2014/world-cup/matches/argentina-vs-bosnia-herz-731777,data/raw/2014/huffpost/matches/731777.html
2014,11,300186477,group,44037,Bosnia-Herzegovina,Argentina,1,14,https://data.huffingtonpost.com/2014/world-cup/matches/argentina-vs-bosnia-herz-731777,data/raw/2014/huffpost/matches/731777.html
2014,12,300186505,group,43817,Iran,Nigeria,1,18,https://data.huffingtonpost.com/2014/world-cup/matches/iran-vs-nigeria-731778,data/raw/2014/huffpost/matches/731778.html
2014,12,300186505,group,43876,Nigeria,Iran,1,16,https://data.huffingtonpost.com/2014/world-cup/matches/iran-vs-nigeria-731778,data/raw/2014/huffpost/matches/731778.html
2014,13,300186475,group,43948,Germany,Portugal,1,8,https://data.huffingtonpost.com/2014/world-cup/matches/germany-vs-portugal-731779,data/raw/2014/huffpost/matches/731779.html
2014,13,300186475,group,43963,Portugal,Germany,1,12,https://data.huffingtonpost.com/2014/world-cup/matches/germany-vs-portugal-731779,data/raw/2014/huffpost/matches/731779.html
2014,14,300186512,group,43860,Ghana,United States,1,10,https://data.huffingtonpost.com/2014/world-cup/matches/ghana-vs-usa-731780,data/raw/2014/huffpost/matches/731780.html
2014,14,300186512,group,43921,United States,Ghana,1,12,https://data.huffingtonpost.com/2014/world-cup/matches/ghana-vs-usa-731780,data/raw/2014/huffpost/matches/731780.html
2014,15,300186479,group,43843,Algeria,Belgium,1,18,https://data.huffingtonpost.com/2014/world-cup/matches/belgium-vs-algeria-731781,data/raw/2014/huffpost/matches/731781.html
2014,15,300186479,group,43935,Belgium,Algeria,1,20,https://data.huffingtonpost.com/2014/world-cup/matches/belgium-vs-algeria-731781,data/raw/2014/huffpost/matches/731781.html
2014,16,300186499,group,43822,Korea Republic,Russia,1,7,https://data.huffingtonpost.com/2014/world-cup/matches/russia-vs-south-korea-731782,data/raw/2014/huffpost/matches/731782.html
2014,16,300186499,group,43965,Russia,Korea Republic,1,15,https://data.huffingtonpost.com/2014/world-cup/matches/russia-vs-south-korea-731782,data/raw/2014/huffpost/matches/731782.html
2014,17,300186509,group,43911,Mexico,Brazil,2,18,https://data.huffingtonpost.com/2014/world-cup/matches/brazil-vs-mexico-731783,data/raw/2014/huffpost/matches/731783.html
