suspension_id,edition,team_id,team,player_id,player,trigger_type,trigger_card_id,trigger_match_number,trigger_match_id,trigger_stage,service_match_number,service_match_id,service_stage,service_nominal_minutes,service_status,lineup_status,rule_source_url,lineup_source_url,lineup_source_archive,audit_note,decision_type,decision_status,decision_source_url,decision_source_archive,decision_note
2014-external-43926-200219-service-M5,2014,43926,Colombia,200219,Fredy GUARIN,external,,,,,5,300186471,group,90,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186471?language=en,data/raw/2014/fifa/live/m005_300186471.json,The sourced service match is confirmed by an absent official lineup record.,carry_in_suspension,served,https://www.eltiempo.com/archivo/documento/CMS-13551137,data/raw/manual/sanction-decisions.csv,FIFA announced a one-match suspension carried from Colombia's final qualifier into its opening World Cup match
2014-007-207924-dismissal-service-M23,2014,43930,Uruguay,286481,M. PEREIRA,dismissal,2014-007-207924,7,300186489,group,23,300186486,group,90,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186486?language=en,data/raw/2014/fifa/live/m023_300186486.json,Next observed official lineup records the player as absent.,,,,,
2014-010-207985-dismissal-service-M26,2014,43909,Honduras,209827,W. Palacios,dismissal,2014-010-207985,10,300186496,group,26,300186463,group,90,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186463?language=en,data/raw/2014/fifa/live/m026_300186463.json,Next observed official lineup records the player as absent.,,,,,
2014-013-208037-dismissal-service-M30,2014,43963,Portugal,275931,Pepe,dismissal,2014-013-208037,13,300186475,group,30,300186483,group,90,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186483?language=en,data/raw/2014/fifa/live/m030_300186483.json,Next observed official lineup records the player as absent.,,,,,
2014-018-208174-dismissal-service-M33,2014,43849,Cameroon,200261,Alexandre SONG,dismissal,2014-018-208174,18,300186453,group,33,300186472,group,90,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186472?language=en,data/raw/2014/fifa/live/m033_300186472.json,Next observed official lineup records the player as absent.,,,,,
2014-020-208139-accumulation-service-M35,2014,43976,Australia,213001,CAHILL,accumulation,2014-020-208139,20,300186478,group,35,300186467,group,90,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186467?language=en,data/raw/2014/fifa/live/m035_300186467.json,Next observed official lineup records the player as absent.,,,,,
2014-020-208142-accumulation-service-M36,2014,43960,Netherlands,217315,Robin VAN PERSIE,accumulation,2014-020-208142,20,300186478,group,36,300186470,group,90,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186470?language=en,data/raw/2014/fifa/live/m036_300186470.json,Next observed official lineup records the player as absent.,,,,,
2014-021-208199-accumulation-service-M38,2014,43854,Côte d'Ivoire,176971,Didier ZOKORA,accumulation,2014-021-208199,21,300186468,group,38,300186455,group,90,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186455?language=en,data/raw/2014/fifa/live/m038_300186455.json,Next observed official lineup records the player as absent.,,,,,
2014-022-208235-dismissal-service-M38,2014,43949,Greece,214887,KATSOURANIS,dismissal,2014-022-208235,22,300186454,group,38,300186455,group,90,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186455?language=en,data/raw/2014/fifa/live/m038_300186455.json,Next observed official lineup records the player as absent.,,,,,
2014-025-208287-accumulation-service-M42,2014,43946,France,358013,Cabaye,accumulation,2014-025-208287,25,300186514,group,42,300186515,group,90,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186515?language=en,data/raw/2014/fifa/live/m042_300186515.json,Next observed official lineup records the player as absent.,,,,,
