edition,team_id,team,player_id,player,played_minutes,team_nominal_minutes,suspension_unavailable_minutes,injury_unavailable_minutes,union_unavailable_minutes,opportunity_denominator_minutes,omega
2014,43817,Iran,185641,Javad NEKOUNAM,270,270,0,0,0,270,1
2014,43817,Iran,213170,Masoud SHOJAEI,122,270,0,0,0,270,0.451851852
2014,43817,Iran,237949,Andranik TIMOTIAN,270,270,0,0,0,270,1
2014,43817,Iran,330659,Karim ANSARIFARD,23,270,0,0,0,270,0.085185185
2014,43819,Japan,184373,Yasuyuki KONNO,180,270,0,0,0,270,0.666666667
2014,43819,Japan,268594,Masato Morishige,90,270,0,0,0,270,0.333333333
2014,43819,Japan,271253,Maya Yoshida,270,270,0,0,0,270,1
2014,43819,Japan,289027,Makoto Hasebe,188,270,0,0,0,270,0.696296296
2014,43822,Korea Republic,268406,KI Sungyueng,270,270,0,0,0,270,1
2014,43822,Korea Republic,274329,HAN Kookyoung,212,270,0,0,0,270,0.785185185
2014,43822,Korea Republic,291393,KOO Jacheol,270,270,0,0,0,270,1
2014,43822,Korea Republic,307849,SON Heungmin,245,270,0,0,0,270,0.907407407
2014,43822,Korea Republic,312679,HONG Jeongho,252,270,0,0,0,270,0.933333333
2014,43822,Korea Republic,363578,LEE Yong,270,270,0,0,0,270,1
2014,43843,Algeria,215208,Madjid BOUGUERRA,202,390,0,0,0,390,0.517948718
2014,43843,Algeria,296827,Rafik HALLICHE,366,390,0,0,0,390,0.938461538
2014,43843,Algeria,323339,Djamel MESBAH,180,390,0,0,0,390,0.461538462
2014,43843,Algeria,354883,Liassine CADAMURO,0,390,0,0,0,390,0
2014,43843,Algeria,367261,Nabil GHILAS,39,390,0,0,0,390,0.1
2014,43843,Algeria,379939,Nabil Bentaleb,270,390,0,0,0,390,0.692307692
2014,43849,Cameroon,200259,Dany NOUNKEU,90,270,0,0,0,270,0.333333333
2014,43849,Cameroon,200261,Alexandre SONG,117,270,141,0,141,129,0.906976744
2014,43849,Cameroon,200935,Stephane MBIA,270,270,0,0,0,270,1
2014,43849,Cameroon,310048,Eyong ENOH,270,270,0,0,0,270,1
2014,43849,Cameroon,336791,Edgar SALLI,49,270,0,0,0,270,0.181481481
2014,43854,Côte d'Ivoire,176971,Didier ZOKORA,180,270,90,0,90,180,1
2014,43854,Côte d'Ivoire,207946,Souleymane Bamba,270,270,0,0,0,270,1
2014,43854,Côte d'Ivoire,212306,Didier DROGBA,137,270,0,0,0,270,0.507407407
2014,43854,Côte d'Ivoire,216970,Salomon KALOU,204,270,0,0,0,270,0.755555556
2014,43854,Côte d'Ivoire,291329,Cheick TIOTÉ,240,270,0,0,0,270,0.888888889
2014,43854,Côte d'Ivoire,367555,Serey DIE,223,270,0,0,0,270,0.825925926
2014,43860,Ghana,183000,Sulley MUNTARI,180,270,90,0,90,180,1
2014,43860,Ghana,294626,Harrison Afful,180,270,0,0,0,270,0.666666667
2014,43860,Ghana,311850,Mohammed RABIU,222,270,0,0,0,270,0.822222222
2014,43860,Ghana,353235,Jordan Ayew,117,270,0,0,0,270,0.433333333
2014,43860,Ghana,367393,Majeed WARIS,70,270,0,0,0,270,0.259259259
2014,43876,Nigeria,234463,John Obi MIKEL,360,360,0,0,0,360,1
2014,43876,Nigeria,315424,Kenneth OMERUO,360,360,0,0,0,360,1
2014,43876,Nigeria,356712,Juwon OSHANIWA,360,360,0,0,0,360,1
2014,43901,Costa Rica,199175,Keylor NAVAS,480,480,0,0,0,480,1
2014,43901,Costa Rica,208120,Michael UMANA,390,480,0,0,0,480,0.8125
2014,43901,Costa Rica,209940,Junior DIAZ,480,480,0,0,0,480,1
2014,43901,Costa Rica,214876,Bryan RUIZ,462,480,0,0,0,480,0.9625
2014,43901,Costa Rica,268821,Giancarlo GONZALEZ,480,480,0,0,0,480,1
2014,43901,Costa Rica,268822,Jose CUBERO,89,480,0,0,0,480,0.185416667
2014,43901,Costa Rica,301165,Oscar GRANADOS,0,480,0,0,0,480,0
2014,43901,Costa Rica,307541,Yeltsin TEJEDA,391,480,0,0,0,480,0.814583333
2014,43901,Costa Rica,312987,Oscar DUARTE,335,480,145,0,145,335,1
2014,43901,Costa Rica,339447,Johnny ACOSTA,134,480,0,0,0,480,0.279166667
2014,43909,Honduras,209827,Wilson PALACIOS,132,270,138,0,138,132,1
2014,43909,Honduras,213878,Victor BERNARDEZ,225,270,0,0,0,270,0.833333333
