card_id,edition,edition_status,match_number,match_id,date_utc,stage,team_id,team,opponent,player_id,player,card_type,minute_label,t_min,period,event_scope,nominal_basis_min,t_end_min,reset_window,base_horizon,effective_horizon,accumulation_role,paired_card_id,stop_scope,stop_card_id,stop_match_number,stop_t_min,stop_gap_fixtures,nominal_remainder_min,exp_match_min_rho_1,exp_match_min_rho_1_5,exp_match_min_rho_2,source_url,source_archive
2014-001-207809,2014,final,1,300186456,2014-06-12T20:00:00Z,group,43924,Brazil,Croatia,314197,NEYMAR JR,Y,26',26,3,in_play,90,94.93,pre_quarter_final_reset,4,4,single_caution,,,,,,,64,68.93,68.93,68.93,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186456?language=en,data/raw/2014/fifa/timelines/m001_300186456.json
2014-001-207815,2014,final,1,300186456,2014-06-12T20:00:00Z,group,43938,Croatia,Brazil,297373,ĆORLUKA,Y,65',65,5,in_play,90,94.93,pre_quarter_final_reset,4,4,single_caution,,,,,,,25,29.93,29.93,29.93,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186456?language=en,data/raw/2014/fifa/timelines/m001_300186456.json
2014-001-207818,2014,final,1,300186456,2014-06-12T20:00:00Z,group,43938,Croatia,Brazil,312432,LOVREN,Y,68',68,5,in_play,90,94.93,pre_quarter_final_reset,4,4,single_caution,,,,,,,22,26.93,26.93,26.93,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186456?language=en,data/raw/2014/fifa/timelines/m001_300186456.json
2014-001-207822,2014,final,1,300186456,2014-06-12T20:00:00Z,group,43924,Brazil,Croatia,367918,Luiz Gustavo,Y,87',87,5,in_play,90,94.93,pre_quarter_final_reset,4,3,accumulation_first_caution,2014-049-208752,cross_match,2014-049-208752,49,59,2,3,7.93,7.93,7.93,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186456?language=en,data/raw/2014/fifa/timelines/m001_300186456.json
2014-002-207828,2014,final,2,300186492,2014-06-13T16:00:00Z,group,43911,Mexico,Cameroon,238112,H. MORENO,Y,56',56,5,in_play,90,94.25,pre_quarter_final_reset,4,4,single_caution,,,,,,,34,38.25,38.25,38.25,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186492?language=en,data/raw/2014/fifa/timelines/m002_300186492.json
2014-002-207834,2014,final,2,300186492,2014-06-13T16:00:00Z,group,43849,Cameroon,Mexico,200259,Nounkeu,Y,76',76,5,in_play,90,94.25,pre_quarter_final_reset,4,4,single_caution,,,,,,,14,18.25,18.25,18.25,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186492?language=en,data/raw/2014/fifa/timelines/m002_300186492.json
2014-003-207839,2014,final,3,300186510,2014-06-13T19:00:00Z,group,43960,Netherlands,Spain,298677,J. de Guzmán,Y,24',24,3,in_play,90,93.85,pre_quarter_final_reset,4,4,single_caution,,,,,,,66,69.85,69.85,69.85,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186510?language=en,data/raw/2014/fifa/timelines/m003_300186510.json
2014-003-207841,2014,final,3,300186510,2014-06-13T19:00:00Z,group,43960,Netherlands,Spain,313021,De Vrij,Y,40',40,3,in_play,90,93.85,pre_quarter_final_reset,4,4,single_caution,,,,,,,50,53.85,53.85,53.85,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186510?language=en,data/raw/2014/fifa/timelines/m003_300186510.json
2014-003-207852,2014,final,3,300186510,2014-06-13T19:00:00Z,group,43960,Netherlands,Spain,217315,Robin VAN PERSIE,Y,65',65,5,in_play,90,93.85,pre_quarter_final_reset,4,1,accumulation_first_caution,2014-020-208142,cross_match,2014-020-208142,20,46,0,25,28.85,28.85,28.85,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186510?language=en,data/raw/2014/fifa/timelines/m003_300186510.json
2014-004-207864,2014,final,4,300186473,2014-06-13T22:00:00Z,group,43976,Australia,Chile,213001,CAHILL,Y,43',43,3,in_play,90,94.12,pre_quarter_final_reset,4,1,accumulation_first_caution,2014-020-208139,cross_match,2014-020-208139,20,42,0,47,51.12,51.12,51.12,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186473?language=en,data/raw/2014/fifa/timelines/m004_300186473.json
2014-004-207867,2014,final,4,300186473,2014-06-13T22:00:00Z,group,43976,Australia,Chile,197514,JEDINAK,Y,57',57,5,in_play,90,94.12,pre_quarter_final_reset,4,2,accumulation_first_caution,2014-035-208462,cross_match,2014-035-208462,35,91,1,33,37.12,37.12,37.12,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186473?language=en,data/raw/2014/fifa/timelines/m004_300186473.json
2014-004-207870,2014,final,4,300186473,2014-06-13T22:00:00Z,group,43976,Australia,Chile,197411,MILLIGAN,Y,67',67,5,in_play,90,94.12,pre_quarter_final_reset,4,4,single_caution,,,,,,,23,27.12,27.12,27.12,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186473?language=en,data/raw/2014/fifa/timelines/m004_300186473.json
2014-004-207877,2014,final,4,300186473,2014-06-13T22:00:00Z,group,43925,Chile,Australia,318150,C. Aránguiz,Y,85',85,5,in_play,90,94.12,pre_quarter_final_reset,4,4,single_caution,,,,,,,5,9.12,9.12,9.12,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186473?language=en,data/raw/2014/fifa/timelines/m004_300186473.json
2014-005-207888,2014,final,5,300186471,2014-06-14T16:00:00Z,group,43926,Colombia,Greece,280487,C. SANCHEZ,Y,25',25,3,in_play,90,93.87,pre_quarter_final_reset,4,4,single_caution,,,,,,,65,68.87,68.87,68.87,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186471?language=en,data/raw/2014/fifa/timelines/m005_300186471.json
2014-005-207889,2014,final,5,300186471,2014-06-14T16:00:00Z,group,43949,Greece,Colombia,299090,S. Papastathopoulos,Y,51',51,5,in_play,90,93.87,pre_quarter_final_reset,4,4,single_caution,,,,,,,39,42.87,42.87,42.87,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186471?language=en,data/raw/2014/fifa/timelines/m005_300186471.json
